Country,Currency Name,Currency Code,ISO Code,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Population 2024,Population 2025,GDP 2018,GDP 2019,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP 2024,GDP 2025,GDP Growth 2018,GDP Growth 2019,GDP Growth 2020,GDP Growth 2021,GDP Growth 2022,GDP Growth 2023,GDP Growth 2024,GDP Growth 2025,GDP Per Capita 2018,GDP Per Capita 2019,GDP Per Capita 2020,GDP Per Capita 2021,GDP Per Capita 2022,GDP Per Capita 2023,GDP Per Capita 2024,GDP Per Capita 2025,Unemployment 2018,Unemployment 2019,Unemployment 2020,Unemployment 2021,Unemployment 2022,Unemployment 2023,Unemployment 2024,Unemployment 2025,Population Growth Rate 2018,Population Growth Rate 2019,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2022,Population Growth Rate 2023,Population Growth Rate 2024,Population Growth Rate 2025,Defense Expenditure (% of GDP) 2018,Defense Expenditure (% of GDP) 2019,Defense Expenditure (% of GDP) 2020,Defense Expenditure (% of GDP) 2021,Defense Expenditure (% of GDP) 2022,Defense Expenditure (% of GDP) 2023,Defense Expenditure (% of GDP) 2024,Defense Expenditure (% of GDP) 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Religion 1,Religion 2,Religion 3,Religion 4,Religion 5,Religion 1 Percentage,Religion 2 Percentage,Religion 3 Percentage,Religion 4 Percentage,Religion 5 Percentage
Central African Republic,Central African CFA franc,F.CFA,XAF,4878657,4944703,5026628,5112100,5098039,5152421,,,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.24831,,,3.78944359275462,3.09999999999999,0.899999996857062,0.982919996264229,0.502110003427035,0.870251450842758,,,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897153068,,,5.517,5.607,6.196,6.375,5.956,5.877,,,1.76068487647458,1.34469255324203,1.64324789708014,1.68608971248183,-0.275432271573156,1.06107453184959,,,1.34005467675922,1.79005408969,1.85914200170463,2.15030201459446,1.70868720076187,2.28543299952889,,,3.46,178269.0,9.0,622980.0,-15357.0,6.0,14.0,44.0,0.07,,,,,,,,,,57.67,59.56,55.51,,,,,,,,,,
Canada,Canadian dollar,$,CAD,37072620,37618495,38028638,38239864,38939056,40097761,,,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,2142470914401.36,,,2.74296343112555,1.9084319253883,-5.03823344128351,5.28695689105889,3.81986633913397,1.24892730403391,,,46539.1761570405,46352.8693445211,43537.839298904,52496.8441693242,55509.393176404,53431.1857063879,,,5.837,5.69,9.657,7.527,5.279,5.415,,,1.43322615679352,1.46171259938134,1.08436897113225,0.553902422386893,1.81192255344382,2.93227401162387,,,1.3176781061648,1.28451224366918,1.40083568623706,1.26729446473527,1.19577775821206,1.29300145446276,,,1.13,443325.0,4.0,9093510.0,368599.0,1.3,40.0,80.0,0.49,15.5,63.4,21.0,2.242,2.142,3.88,1.8,22.5,69.6,82.72,84.91,80.53,Jewish,,,,,53.3,,,,
Switzerland,Swiss franc,Fr,CHF,8514329,8575280,8638167,8704546,8777088,8888093,,,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45,884940402230.409,,,2.86044579461633,1.14198232505277,-2.14173720650054,5.39188804141473,2.56832817834069,0.716066868695833,,,85217.3691512274,84121.9310304414,85897.7843338323,93446.4344518943,93245.7952120851,99564.710026145,,,4.713,4.394,4.817,5.013,4.122,4.043,,,0.736633975172522,0.713313668444329,0.730676195047382,0.765501039496593,0.829927183900371,1.25678260643691,,,0.652876569793988,0.696324324760463,0.772558973227674,0.674464698214506,0.690463765272407,0.702718004518668,,,0.58,51420.0,226.0,39516.0,40099.0,1.4,43.0,74.0,0.11,15.1,64.6,20.3,733.779,884.94,2.14,0.6,24.9,71.9,84.09,85.95,82.17,Catholic,,,,,34.4,,,,
Chile,Chilean peso,$,CLP,18893191,19197744,19370624,19456334,19553036,19658835,,,295857562991.709,278285058719.466,254042159309.311,315515014838.539,302116539409.03,335533331669.219,,,3.99002947521676,0.634367533828438,-6.14347479224092,11.3339570691911,2.05874008095333,0.218780666901552,,,15659.4808675628,14495.716721687,13114.815470545,16216.5706467899,15451.1319576678,17067.8136150601,,,7.623,7.493,10.934,9.281,8.249,9.013,,,1.78538584857741,1.59911795256016,0.896491953505063,0.441498091207504,0.495789591494285,0.53962870957127,,,1.87761395663911,1.86261660464315,2.06377550015856,1.64187618917853,1.54832205230529,1.6328889293069,,,0.54,105936.0,27.0,743532.0,58316.0,1.1,36.0,85.0,0.24,19.2,67.3,13.6,579.201,335.533,7.58,3.5,29.7,56.9,81.36,83.23,79.45,Catholic,,,,,42.0,,,,
China,Renminbi,¥,CNY,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,,,13894907857880.6,14279968506271.7,14687744162801,17820459508852.2,17881782683707.3,17794783039552,,,6.7497738324959,5.95050075367413,2.23863835634639,8.44846941687277,2.95066992959268,5.24955786387791,,,9905.40638304527,10143.8602206165,10408.7195541075,12617.5051041181,12662.5826712038,12614.0617416421,,,4.31,4.56,5,4.55,4.98,4.67,,,0.467672053461959,0.354740890170827,0.238040870229883,0.0892522000412526,-0.0130995013525784,-0.103794531589067,,,1.67357820944542,1.68291101151296,1.75669947098837,1.60525971842503,1.62314627775085,1.66533914524613,,,-0.23,-3263655.0,151.0,9388211.0,-318992.0,1.0,40.0,66.0,17.39,16.3,69.3,14.4,31.23,17.795,0.23,7.1,38.3,54.6,78.02,80.97,75.25,Jewish,,,,,21.9,,,,
Côte d'Ivoire,West African CFA franc,F.CFA,XOF,27464173,28193009,28915449,29639736,30395002,31165654,,,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,78875489245.0538,,,4.84314605889178,6.72137167584978,0.699728593494228,7.06332910205232,6.2178509127107,6.199999999987,,,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127641148,2308.70654660366,2530.84659301723,,,2.85,2.401,2.584,2.63,2.306,2.27,,,2.69696827034562,2.61916841176218,2.53019803537112,2.47398737434864,2.51622934953513,2.50384681190665,,,1.04836823083765,0.915612640909431,0.989482626607969,0.910633112973165,0.88888634617464,0.886138694874967,,,2.47,768576.0,100.0,318000.0,7838.0,4.2,18.0,49.0,0.39,,,,,,,,,,62.11,64.31,60.17,,,,,,,,,,
Cameroon,Central African CFA franc,F.CFA,XAF,24806383,25506095,26210558,26915758,27632771,28372687,,,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826,,,3.95551423892049,3.47505998194981,0.259932915907115,3.33885747179505,3.7367840056412,3.24834497823876,,,1610.69641591017,1555.22660476477,1555.60370660749,1672.32657340872,1604.87726954895,1736.86091073524,,,3.601,3.622,3.87,3.973,3.653,3.613,,,2.77030987519388,2.78164441246944,2.7244863481235,2.65496076580698,2.62905090961273,2.64245336134821,,,1.07600981816736,1.06457837839838,0.96440732254506,0.978117031343036,0.942511872454016,0.933338169286478,,,2.65,751057.0,62.0,472710.0,-13892.0,4.3,18.0,59.0,0.36,41.5,55.3,3.2,138.191,49.279,7.38,17.3,25.5,50.2,63.97,66.23,61.78,Catholic,,,,,33.1,,,,
"Congo, The Democratic Republic of the",N/A,N/A,N/A,90047644,92947442,95989998,99148932,102396968,105789731,,,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5815,66383287002.9867,,,5.82112109969025,4.38452887429834,1.73542276681493,6.20015401075946,8.92444762563109,8.56086250904089,,,528.256019777898,557.044161335917,507.521230077872,558.034077296358,642.612265820033,627.502181690836,,,4.618,4.591,5.345,5.28,4.522,4.484,,,3.34726508426912,3.1695285579572,3.22098049233111,3.23790848096045,3.2234019442495,3.25963514299902,,,0.623912514687135,0.700795464424695,0.743310281501406,0.542970228782383,0.578894366833228,1.16439690158003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,N/A,N/A,N/A,5483118,5616661,5752791,5892183,6035104,6182885,,,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167,,,-2.30431780125842,1.12447391976529,-6.26777227963225,1.01507036990908,1.47535613247133,1.90686426346754,,,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804267402,2477.97845544866,,,20.701,20.392,22.198,21.96,20.108,19.898,,,2.43884022378671,2.40634419722279,2.39477691216791,2.39414288318435,2.39665300284304,2.41919038084212,,,1.97928115025179,2.14627657925685,2.60118726630221,2.34034890602655,1.90798488893194,2.00045624049447,,,2.43,150076.0,19.0,341500.0,-2491.0,4.1,18.0,69.0,0.08,,,,,,,,,,66.0,67.72,64.33,,,,,,,,,,
Colombia,Colombian peso,$,COP,49024465,49907985,50629997,51188173,51737944,52321152,,,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345329875078.512,363493841244.303,,,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.2888838865514,0.610409565791542,,,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6674.59601948063,6947.35928681966,,,9.36,10.28,15.983,13.898,10.547,9.594,,,1.83913784861099,1.78615507724394,1.43632167326968,1.09642825395961,1.06829295530618,1.12092864340999,,,3.0332327385044,3.14565669372153,3.53698651555212,3.19588692136248,2.8118884804297,2.87298318741673,,,1.08,565211.0,48.0,1109500.0,141643.0,1.6,32.0,81.0,0.65,22.3,66.5,11.2,978.007,363.494,11.74,8.7,24.6,56.9,77.91,80.61,75.16,Catholic,,,,,63.6,,,,
Comoros,Comorian franc,FC,KMF,771590,786578,802163,818174,834188,850387,,,1188797449.38584,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,1352380971.24055,,,3.6424511379732,1.76078023923176,-0.195556827149787,2.00016198933761,2.60301031927843,2.99567457175966,,,1540.71132257526,1519.26386436068,1527.16991011916,1584.12450153608,1489.49566257969,1590.31237688317,,,3.942,3.934,4.471,4.394,3.816,3.776,,,1.95274153616222,1.92385702700328,1.96199379762606,1.97631988078353,1.93837687010445,1.92327433672711,,,,,,,,,,,1.91,16241.0,466.0,1861.0,-2051.0,3.8,21.0,33.0,0.01,32.6,62.8,4.6,2.975,1.352,,37.2,9.0,49.6,67.02,69.2,65.02,Muslim,,,,,98.1,,,,
Cabo Verde,N/A,N/A,N/A,513415,514104,514679,516649,519741,522331,,,2205099509.15987,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,2533819406.4916,,,3.70696458310842,6.94782634051859,-20.8052758990735,7.03353010694514,15.843675684642,5.47543591649173,,,4294.96510456428,4380.7811916403,3539.22662027109,3971.4440744985,4323.31362665974,4850.98415849643,,,12.17,12.128,14.69,13.976,12.246,11.971,,,0.101723857752759,0.134109462358547,0.11178257414313,0.38203217521266,0.596688345869947,0.497087597239901,,,0.485896540748011,0.431864983823163,0.618818770532046,0.561428911072723,0.457294201361806,0.528231870181008,,,0.49,2546.0,130.0,4030.0,-1209.0,1.5,28.0,78.0,0.01,26.4,67.2,6.4,4.852,2.534,3.72,4.6,10.6,70.0,76.22,79.37,73.05,Catholic,,,,,72.5,,,,
Costa Rica,Costa Rican colón,₡,CRC,4957818,4999553,5034320,5059988,5081765,5105525,,,62420164991.5374,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,86497941439.0174,,,2.6159044043379,2.41751181762513,-4.27335432161462,7.93576224743147,4.55149177958398,5.11192183224598,,,12590.2493781614,12884.6859951989,12394.0493969492,12838.1185358931,13625.9008491328,16942.0268119375,,,9.01,10.807,16.432,15.139,11.325,8.325,,,0.904494518403601,0.838278384859255,0.6929953994471,0.508564932290693,0.429453043658398,0.46646444898736,,,,,,,,,,,0.48,24385.0,100.0,51060.0,967.0,1.3,35.0,84.0,0.06,18.8,70.2,11.1,134.238,86.498,0.53,3.8,20.5,68.0,81.0,83.58,78.37,Catholic,,,,,47.5,,,,
Cuba,Cuban peso,$,CUP,11227118,11202846,11176354,11122168,11059820,11019931,,,100050036096.123,103427600000,107351800000,,,,,,2.24794854086232,-0.163087223606624,-10.9490846048862,1.25369342501311,1.77485399483382,-1.92899211214875,,,8911.46205964193,9232.26115935183,9605.26125067263,,,,,,1.7,1.705,2.24,2.116,1.82,1.719,,,-0.1843030451865,-0.216424863402489,-0.236755669324081,-0.486006262271645,-0.562151275082133,-0.361317873522215,,,2.87620737245072,,,,,,,,-0.36,-40148.0,103.0,106440.0,-22356.0,1.4,42.0,81.0,0.13,16.3,66.5,17.2,,107.352,,0.8,23.8,74.6,78.26,80.68,75.86,Jewish,,,,,58.9,,,,
Curaçao,Netherlands Antillean guilder,ƒ,ANG,159336,157441,154947,152369,149996,147862,,,3046364804.46927,3026124134.07821,2534327597.76536,2739608156.42458,3075180834.72417,3281419347.37053,,,-2.10411133101029,-3.20613219619177,-18.4384703505393,4.18371193053579,6.90599999999999,4.20199999999977,,,19119.1243941688,19220.6866958303,16356.0933594414,17980.0888397547,20501.7522782219,22192.4453028535,,,,,,,,,,,-0.525178744011738,-1.19643951751799,-1.59676619476798,-1.6777912474095,-1.56965834139861,-1.43292207278827,,,,,,,,,,,0.03,55.0,418.0,444.0,513.0,1.1,38.0,80.0,0.0,,,,,,,,,,76.99,80.96,72.66,,,,,,,,,,
Cayman Islands,Cayman Islands dollar,$,KYD,65941,67327,68684,70108,71591,73038,,,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,7139428557.71423,,,4.26726745249641,3.91563534249416,-4.95480640759244,4.90492941270442,5.15632954248333,4.35967595700366,,,83865.5531568184,88254.2903677044,82338.7982853661,86438.445257404,92202.1478031576,97749.5078960846,,,,,,,,,,,2.15526905432315,2.08009420729087,1.9954930548265,2.05206347593734,2.09324575309515,2.00104859136332,,,,,,,,,,,1.94,1419.0,310.0,240.0,896.0,1.5,38.0,90.0,0.0,17.4,65.9,16.7,5.705,7.139,,0.5,8.2,85.4,,,,Catholic,,,,,60.8,,,,
Cyprus,Euro,€,EUR,1270737,1286671,1302247,1317309,1331370,1344976,,,25754001367.5448,26196667099.5303,25555093854.2968,30372874319.6285,30976176886.8521,33886930712.3394,,,6.27166730438427,5.87559123003267,-3.22063433575047,11.3877633552,7.36562252428676,2.61190090914745,,,29599.986328125,29703.052734375,28649.015625,33734.29296875,33938.9453125,36551.41796875,,,8.504,7.155,7.755,7.513,6.806,6.098,,,1.30393306995205,1.24612155650882,1.20329712567783,1.1499785451605,1.06174678712373,1.0167681770201,,,1.76054591686911,1.78661901313827,1.92017174602879,1.83792041200868,1.82273103646902,1.82460300554278,,,0.99,13306.0,147.0,9240.0,8138.0,1.4,38.0,61.0,0.02,15.6,70.0,14.4,49.526,33.887,3.54,1.2,10.5,76.6,81.82,83.8,79.84,Catholic,,,,,89.1,,,,
Czechia,N/A,N/A,N/A,10629928,10671870,10697858,10505772,10672118,10864042,,,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,343207874553.734,,,2.83030589412112,3.56577657204843,-5.30487954551279,4.02901830633854,2.84717065717149,-0.085330275927376,,,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31591.1770732969,,,2.246,2.015,2.55,2.803,2.224,2.579,,,0.334427262299794,0.393788864202175,0.243222682211879,-1.81187141002542,1.5709725672011,1.78238907045946,,,1.08844948058138,1.15229255021758,1.32244994903778,1.39734579290545,1.37852844418063,1.52418962408317,,,,,,,,,,,,15.7,63.8,20.5,539.737,343.208,10.66,1.7,30.4,59.7,,,,Catholic,,,,,7.0,,,,
Germany,Euro,€,EUR,82905782,83092962,83160871,83196078,83797985,83280000,,,4052008447223.53,3957208055215.68,3940142541354.1,4348297440387.53,4163596357879.39,4525703903627.53,,,1.11644310926225,0.987893349167578,-4.09513749064689,3.66999986156735,1.36973105536585,-0.266438410090913,,,48874.8595028454,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,54343.2265084958,,,3.384,3.163,3.881,3.594,3.12,3.068,,,0.300526701992065,0.22551987421288,0.0816931586494595,0.0423270572552137,0.720875455989295,-0.620053754616789,,,1.17054854477113,1.26184145004044,1.37427175481016,1.32102724294738,1.37713842050552,1.51965192096975,,,0.0,4011.0,243.0,348560.0,36954.0,1.4,45.0,76.0,1.04,13.8,62.5,23.7,5.295,4.526,5.95,0.8,26.8,63.7,81.54,83.88,79.21,Catholic,,,,,24.8,,,,
Djibouti,Djiboutian franc,Fdj,DJF,1071882,1088709,1105188,1121248,1137096,1152944,,,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3674298479.07676,4098530513.55777,,,4.7744168883374,5.5451305999467,1.31636324158441,4.52234774643705,3.72857647005031,6.67664964361434,,,2718.0853229414,2837.17103336917,2881.99924450145,3019.69343880209,3231.30015326477,3554.83918868372,,,26.184,26.256,27.713,27.668,26.307,26.154,,,1.60259372935612,1.55766086478885,1.50228656339009,1.44268944208775,1.40352932560807,1.38410272350128,,,,,,,,,,,1.37,15778.0,50.0,23180.0,-11.0,2.6,25.0,71.0,0.01,28.4,67.4,4.2,7.38,4.099,1.5,1.8,15.3,76.9,66.2,68.74,63.73,Jewish,,,,,94.0,,,,
Dominica,Eastern Caribbean dollar,EC$,XCD,68174,67880,67573,67202,66826,66510,,,554770370.37037,611537037.037037,504214814.814815,555266666.666667,607159259.259259,653992592.592593,,,3.54758441831531,5.5024834367041,-16.6041095231221,6.8905494167316,5.58354626264079,4.71223818531963,,,8137.56520624242,9009.09011545429,7461.77933220095,8262.65091316727,9085.67412772363,9832.99643050057,,,,,,,,,,,-0.471208891199626,-0.432182012456847,-0.453294538586472,-0.550548598917183,-0.561078261856387,-0.473991407609536,,,,,,,,,,,-0.46,-305.0,88.0,750.0,-200.0,1.5,36.0,83.0,0.0,20.7,65.6,13.7,1.159,653.993,4.23,14.8,12.2,58.5,,,,Catholic,,,,,52.7,,,,
Denmark,Danish krone,kr,DKK,5793636,5814422,5831404,5856733,5903037,5946952,,,355293374912.393,345401473012.615,355631021931.621,408378204639.999,401945576107.963,407091920305.404,,,1.86000748885226,1.7114009439059,-1.7801059882175,7.38206628977555,1.54017310709567,2.49518433148894,,,61324.7665045565,59404.2663247723,60985.4885601514,69727.9873677012,68091.3191138669,68453.8769281145,,,5.131,5.018,5.637,5.043,4.434,5.094,,,0.495838925879129,0.358130915892652,0.291641177476633,0.433414489409722,0.787502464739957,0.741185515720057,,,1.27753927185212,1.29509238115422,1.37713112053436,1.30012223662152,1.36761549013104,1.95319596405831,,,0.49,29276.0,141.0,42430.0,25639.0,1.5,41.0,87.0,0.07,16.2,62.9,20.8,428.759,407.092,3.31,0.8,23.5,64.4,82.09,83.98,80.21,Catholic,,,,,71.4,,,,
Dominican Republic,Dominican peso,$,DOP,10782053,10894043,11008300,11123476,11230734,11331265,,,85555390139.118,88941372558.2397,78844656298.1776,94243425938.3647,113537368176.13,121444279313.931,,,6.98252758458058,5.05216802016253,-6.72023937283404,12.2719902347896,4.85832403582451,2.36061568723294,,,7934.98141208525,8164.22080932117,7162.29175242114,8472.47982000992,10109.5234003521,10717.6276712204,,,5.861,6.356,6.126,7.702,5.504,5.555,,,1.07428473724925,1.0333133463082,1.04334076460591,1.04082961778304,0.959629735113671,0.891159203732232,,,0.693991110098086,0.689583054746984,0.746231922011371,0.647239948925026,0.668011697920087,0.740729436807107,,,0.85,96292.0,236.0,48320.0,-34806.0,2.2,28.0,86.0,0.14,,,,,,,,,,73.87,77.11,70.66,,,,,,,,,,
Algeria,Algerian dinar,DA,DZD,42505035,43294546,44042091,44761099,45477389,46164219,,,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,,,1.40000000000002,0.899999999999949,-4.99999999999997,3.79999999999995,3.59999999999998,4.10000000000004,,,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,,,12.137,12.259,14.057,13.63,12.346,11.701,,,1.93780623340147,1.84041291439333,1.71191216459393,1.61936460233826,1.58758210690673,1.49897601193923,,,5.48358870056161,5.99994146398572,6.65871082968014,5.57082878533287,4.69502219300875,8.1717205566288,,,1.41,650089.0,20.0,2381740.0,-31240.0,2.7,28.0,74.0,0.57,30.8,62.3,6.9,699.818,247.626,9.32,13.1,37.8,45.6,76.48,77.91,75.1,Jewish,,,,,99.0,,,,
Ecuador,United States dollar,$,USD,17049547,17340021,17546065,17682454,17823897,17980083,,,107478962000,107595829000,95865472000,107435101000,116586079000,118844826000,,,1.044295546927,0.165403532646692,-9.24509637743429,9.818417748417,6.18613907258741,2.35521790742197,,,6303.91892523596,6205.05759479761,5463.64509649315,6075.8026572556,6540.99824522101,6609.80408154957,,,3.53,3.812,6.127,4.552,3.761,3.51,,,1.71572391035149,1.68935479627168,1.18125258230486,0.774314023514489,0.796723652034201,0.872456027022398,,,2.37016772687992,2.17005198939516,2.37312249582349,2.26891193069531,2.24815513389947,2.29706957855181,,,0.86,155395.0,73.0,248360.0,-19704.0,1.8,29.0,65.0,0.22,26.8,64.1,9.1,260.213,118.845,2.22,7.7,26.9,59.7,77.58,80.31,74.88,Catholic,,,,,68.2,,,,
Egypt,Egyptian pound,LE,EGP,105682094,107553158,109315124,110957008,112618250,114535772,,,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,396002496996.96,,,5.3311086189448,5.55209307156956,3.55016483786838,3.29064601202211,6.58784560886967,3.75870055176806,,,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3457.45691570455,,,9.855,7.851,7.974,7.441,7.344,7.334,,,1.89713831833082,1.75497438173801,1.62495386951696,1.4908053906311,1.48609697540294,1.68834126904494,,,1.24996619642133,1.18097179684711,1.12247550332399,1.12200927143154,1.04848151432161,0.870565509711049,,,1.75,2002486.0,117.0,995450.0,123884.0,2.7,24.0,41.0,1.43,33.8,60.6,5.6,1.912,396.002,33.88,11.6,32.1,51.3,71.81,74.01,69.65,Catholic,,,,,90.0,,,,
Eritrea,Eritrean nakfa,Nkf,ERN,3192760,3240194,3291271,3350183,3409447,3470390,,,,,,,,,,,,,,,,,,,,,,,,,,,5.511,5.552,6.088,6.177,5.695,5.586,,,1.33731409848117,1.47474580694345,1.56406078076077,1.77411588481268,1.75351368458045,1.77168715176453,,,,,,,,,,,1.88,65213.0,35.0,101000.0,-12696.0,3.7,19.0,74.0,0.04,35.7,60.3,4.0,,5.813,,11.7,29.6,58.7,68.89,70.94,66.76,,,,,,,,,,
Spain,Euro,€,EUR,46797754,47134837,47365655,47415794,47759127,48347910,,,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1446498147749.03,1620090734956.89,,,2.39541120364247,1.9611785315135,-10.9400706591866,6.6831441850028,6.17931222572963,2.67566349258229,,,30592.1264795541,29776.2011500384,27230.3599933583,30817.6828559001,30287.3657583614,33509.0127982139,,,15.255,14.104,15.532,14.781,12.917,12.179,,,0.437982993728698,0.717715637103499,0.488502131838585,0.105799194264084,0.72148100717686,1.22528044685694,,,1.25433377164601,1.23270491757212,1.36664551701951,1.35211774619771,1.4339965700543,1.50901228462186,,,0.0,-1053.0,96.0,498800.0,111674.0,1.2,45.0,79.0,0.59,13.0,66.1,20.9,2.279,1.62,3.53,2.5,20.1,68.7,83.8,86.44,81.1,Catholic,,,,,58.2,,,,
Estonia,Euro,€,EUR,1321977,1326898,1329522,1330932,1348840,1370286,,,31222632740.7247,31873748770.0313,31820771493.8974,37204563051.4723,38376046174.971,41291245222.1948,,,3.69969444001093,3.72665318178397,-2.88381004140328,7.15444748334397,0.0604278323325786,-3.02303584066192,,,23618.1361254581,24021.2501413306,23933.9939421065,27953.7670230126,28451.1477825175,30133.304450454,,,5.412,4.514,6.956,6.178,5.571,6.378,,,0.348039137980543,0.371554389037477,0.197559185177642,0.105996956310127,1.33655151148286,1.57745133607335,,,2.0090871203263,2.03570397226451,2.29675683425333,2.0308662213269,2.1604426401521,2.86665387374435,,,-0.49,-6650.0,32.0,42390.0,-7742.0,1.4,42.0,66.0,0.02,15.2,62.2,22.6,58.199,41.291,9.16,1.9,21.7,64.5,79.31,83.17,75.12,Catholic,,,,,16.5,,,,
Ethiopia,Ethiopian birr,Br,ETB,112664152,115737383,118917671,122138588,125384287,128691692,,,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126772703047.701,163697927593.982,,,6.81614779681703,8.3640856990789,6.05953088643369,5.64153071734657,5.32117628383672,6.49813464238613,,,747.968143637014,828.70897229725,905.313175805855,910.947840320752,1011.0732858233,1272.01628209211,,,2.802,2.917,3.994,3.935,3.409,3.402,,,2.69675179524869,2.69123978261516,2.71077284780816,2.67249538803955,2.62269500936104,2.6036241976442,,,0.645850962685811,0.579949536835092,0.521624297220978,0.492015222766883,0.869861417762905,0.788322879616043,,,2.62,3368075.0,132.0,1000000.0,30069.0,3.9,19.0,22.0,1.62,38.7,58.0,3.4,354.604,163.698,30.22,35.8,24.5,37.0,67.6,71.02,64.36,Catholic,,,,,43.8,,,,
Finland,Euro,€,EUR,5515525,5521606,5529543,5541017,5556106,5583911,,,273869255596.078,267014821129.411,270000311606.226,294223210496.119,280241515774.32,295532341254.907,,,1.19297772988504,1.34973843826123,-2.49103620977239,2.73471348589543,1.4500480727209,-1.16396281522198,,,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50438.4753952355,52925.6897638424,,,7.361,6.695,7.759,7.617,6.719,7.151,,,0.132641040791912,0.110191690491055,0.143641197212847,0.207288594407348,0.271944526506117,0.499192375381062,,,1.36253437390239,1.35371761625629,1.42582276779338,1.29123276861826,1.57363807254928,2.42148617618712,,,0.29,16125.0,18.0,303890.0,26894.0,1.3,43.0,86.0,0.07,16.2,60.3,23.5,318.638,295.532,6.25,2.3,23.9,61.4,82.08,84.79,79.38,Orthodox,,,,,66.6,,,,
Fiji,Fijian dollar,$,FJD,917180,914899,914963,916711,919422,924145,,,5581425324.91185,5444407214.31758,4432466237.09588,4305031630.81808,4969503560.7735,5442046565.04719,,,3.81235097047221,-0.581946371012094,-17.0386675274098,-4.88103605578388,19.7927266933385,7.52429088237292,,,6085.41979209299,5950.82868635508,4844.42129036462,4696.17101880318,5405.03007408295,5888.73668639357,,,4.335,4.373,4.649,4.701,4.446,4.322,,,-0.172010114641272,-0.24900685817593,0.00699506301854314,0.190863715994045,0.295294727557318,0.51237740019889,,,1.45588315236828,1.43529925860875,1.58932558621181,1.59921009692948,1.34927607914923,1.31648157529348,,,0.5,4639.0,51.0,18270.0,-3278.0,2.3,28.0,60.0,0.01,24.7,66.4,8.9,12.617,5.442,2.15,11.7,14.2,55.1,67.46,69.54,65.47,Catholic,,,,,45.0,,,,
France,Euro,€,EUR,67158348,67382061,67601110,67842811,68065015,68287487,,,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2796302210398.84,3051831611384.76,,,1.64590872932709,2.02744647639635,-7.44064593044142,6.88233786590355,2.57084047443969,0.936487502671483,,,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117,,,9.018,8.415,8.009,7.874,7.308,7.335,,,0.358494581816163,0.332559129027963,0.324557781035362,0.356902332389048,0.326992498564887,0.326319200823468,,,1.84300872300244,1.8364614707329,1.99647774299432,1.91440611513925,1.93242353809568,2.05638673841337,,,0.17,109708.0,122.0,547557.0,90527.0,1.6,42.0,82.0,0.82,17.3,60.7,22.0,3.786,3.052,4.88,1.7,18.5,69.7,83.46,86.2,80.59,Catholic,,,,,47.0,,,,
